Date,jp_w_i_delta,uk_w_i_delta,au_w_i_delta,de_w_i_delta,ca_w_i_delta,nz_w_i_delta,usdjpy_w_delta,usdcad_w_delta,nzdusd_w_delta,gbpusd_w_delta,eurusd_w_delta,audusd_w_delta
19-Apr-15,0.017,-0.063,-0.201,-0.079,-0.032,-0.225,-1.19,0.002,0.007,0.0048,-0.0327,-0.0034
12-Apr-15,0.035,-0.003,0.016,0.077,-0.036,0.025,-0.06,0.007,0.007,-0.0227,-0.0067,-0.0042
5-Apr-15,0.014,0.001,-0.07,0.027,-0.06,0.005,1.3,0.031,-0.015,-0.0331,-0.0203,-0.0092
29-Mar-15,0.022,-0.045,0.114,0.026,0.063,0.08,-1.25,-0.008,0.007,0.029,0.0374,-0.0053
22-Mar-15,-0.053,-0.021,-0.037,-0.024,-0.073,-0.035,0.17,0.013,-0.004,-0.0044,-0.0089,0.0121
15-Mar-15,0.091,0.185,0.177,0.074,0.171,0.145,0.89,-0.006,0,0.0074,-0.0067,0.0022
8-Mar-15,-0.03,0.243,0.09,0.141,0.138,-0.025,1.36,0.023,-0.023,-0.0207,-0.0327,-0.0137
1-Mar-15,-0.048,-0.159,-0.165,-0.076,-0.313,-0.065,-0.55,-0.016,0.002,0.0293,0.0349,0.0081
22-Feb-15,0.051,-0.011,0.1,0.048,0.117,0.045,-1.3,-0.011,0.02,0.0397,0.0352,0.0094
15-Feb-15,0.027,-0.1,-0.066,-0.023,0.009,-0.07,-0.51,0.002,-0.004,-0.0034,0.0185,0.0031
8-Feb-15,-0.074,-0.031,-0.072,0.025,0.024,-0.09,-0.28,-0.008,-0.007,-0.0001,0.0004,-0.0074
1-Feb-15,-0.058,-0.306,0.027,-0.061,-0.199,0,0.23,0.008,-0.01,-0.0153,-0.0069,0.0028
25-Jan-15,-0.039,0.137,0.141,0.053,0.197,0.19,-1.53,0.021,-0.01,-0.0177,-0.0028,-0.0028
18-Jan-15,-0.006,0.061,-0.077,0.092,0.092,0,0.33,-0.031,0.02,-0.0079,-0.008,0.0139
11-Jan-15,0.041,0.049,0.192,0.024,0.114,0.215,-0.14,-0.044,0.034,0.0161,0.0361,0.032
4-Jan-15,0.044,0.131,0.143,0.016,0.09,0.07,0.89,-0.012,0.005,0.0009,0.0273,-0.0024
28-Dec-14,0.005,0.163,0.086,0.097,0.169,0.07,1.97,-0.008,-0.013,0.0168,0.0161,-0.0114
