Date,uk_b_w_delta,de_b_w_delta,ca_b_w_delta,jpy_b_w_delta,au_b_w_delta,us_b_w_delta,cn_b_w_delta,usdcad_w_delta,gbpusd_w_delta,eurusd_w_delta,usdjpy_w_delta,audusd_w_delta,gbpjpy_w_delta,audnzd_w_delta
4/11/2008,-0.0400,-0.0160,-0.0800,-0.0550,-0.0880,-0.0470,0.0400,0.0140,0.0253,-0.0082,0.7200,-0.0066,1.7100,-0.0016
4/18/2008,0.0570,0.0470,0.0070,-0.0390,-0.1120,0.0610,0.0000,-0.0150,-0.0315,-0.0116,-2.4100,-0.0090,-3.1300,-0.0193
4/25/2008,-0.3250,-0.2170,-0.1540,-0.0250,-0.1300,-0.3130,0.0100,0.0229,0.0138,0.0187,-0.6700,0.0003,-1.5900,-0.0030
5/2/2008,-0.0630,-0.0660,-0.0610,-0.1950,-0.1110,-0.1310,-0.0100,-0.0090,0.0126,0.0188,-0.9600,0.0000,-1.5700,0.0018
5/9/2008,0.0500,-0.0160,0.1610,-0.0040,0.1450,0.0410,-0.0100,-0.0065,0.0190,-0.0052,2.5000,-0.0085,1.9300,-0.0154
5/16/2008,0.1650,0.1980,0.0200,0.0850,0.0950,0.0860,-0.0200,0.0149,-0.0067,-0.0119,-1.0500,-0.0144,0.1800,-0.0049
5/23/2008,-0.2170,-0.1760,0.0220,-0.1390,-0.1170,-0.0600,-0.0300,0.0074,-0.0228,-0.0168,0.6200,-0.0029,1.4300,0.0081
5/30/2008,-0.1310,-0.0780,-0.0540,-0.0350,-0.2020,0.0190,-0.0100,0.0096,-0.0010,0.0216,-2.1600,0.0034,-0.5000,-0.0008
6/6/2008,-0.0600,-0.1460,-0.0780,-0.0150,-0.0880,-0.1690,-0.0200,-0.0044,0.0065,-0.0217,0.3400,-0.0077,0.6400,-0.0353
6/13/2008,0.0190,-0.0180,0.0400,-0.0360,-0.0400,0.0870,0.0000,-0.0241,0.0226,0.0409,-3.6700,0.0229,-0.8100,0.0010
6/20/2008,-0.2630,-0.2220,-0.2290,-0.0810,-0.1340,-0.3290,-0.1100,-0.0109,-0.0287,-0.0207,0.7400,-0.0140,0.8100,-0.0010
6/27/2008,0.0820,0.0310,0.0480,0.0950,0.0420,0.0880,-0.0900,0.0129,-0.0197,-0.0164,1.0700,-0.0078,0.7400,-0.0124
7/4/2008,0.1200,0.1170,0.1170,0.1300,0.1490,0.1740,-0.1200,0.0054,0.0123,0.0072,-0.5800,-0.0023,0.0800,-0.0081
7/11/2008,0.0780,0.0220,0.0090,-0.0150,-0.0070,0.0190,-0.0500,-0.0077,-0.0058,-0.0242,0.4500,-0.0035,0.2400,-0.0002
7/18/2008,0.0550,0.0760,-0.0640,0.0510,0.0370,0.0350,0.0300,0.0095,-0.0066,0.0116,-0.7900,0.0001,-1.3000,-0.0015
