Date,uk_b_w_delta,de_b_w_delta,ca_b_w_delta,jpy_b_w_delta,us_b_w_delta,cn_b_w_delta,usdcad_w_delta,gbpusd_w_delta,eurusd_w_delta,usdjpy_w_delta,audusd_w_delta,gbpjpy_w_delta
11/6/2009,-0.274,-0.14,-0.09,-0.039,-0.1,-0.01,0.0214,-0.0029,-0.0034,0.19,-0.012,0.37
11/13/2009,0.088,-0.009,0.053,0.109,0.089,-0.02,-0.0171,0.0207,0.0058,0.72,0.0192,1.43
11/20/2009,0.172,0.126,0.061,0.032,0.041,0,0.0087,-0.0019,-0.0138,2.34,0.0056,-0.09
11/27/2009,0.092,0.088,0.16,0.057,0.18,0.01,0.0024,0.0054,0.0156,-3.95,-0.0032,-3.03
12/4/2009,-0.163,-0.069,-0.093,-0.039,-0.247,0.06,-0.004,0.0207,0.0256,1.2,0.0035,-1.04
12/11/2009,-0.146,0.02,-0.083,0.007,-0.094,0,-0.0061,0.0062,0.0278,-1.2,0.0205,-0.97
12/18/2009,0.084,0.062,-0.04,0.052,-0.011,-0.01,0.0169,0.0109,-0.0073,0.264,-0.0254,0.61
1/8/2010,-0.024,0.026,0.019,-0.07,0.049,0,0.0018,-0.0203,0.0027,1.81,0.0052,1.44
1/15/2010,0.125,0.118,0.105,0.035,0.169,-0.02,-0.0281,0.0157,0.0214,1.08,0.02,1.72
1/22/2010,0.025,0.045,0.116,0,0.094,0.03,-0.0139,0.0121,0.0289,-0.32,0.0184,0.63
1/29/2010,0.015,0.019,0.036,0.005,0.029,0.05,-0.0029,0.0304,0.0185,0.97,0.0147,0.95
2/5/2010,0.013,0.055,0.011,-0.049,0.087,0.02,0.0196,-0.0103,0.0025,-0.78,-0.0198,-0.4
2/12/2010,-0.158,-0.078,-0.09,0.039,-0.116,0.02,-0.0129,0.0221,-0.0019,2.66,0.0046,0.47
2/26/2010,0.243,0.179,0.115,0.035,0.195,0.01,0.0232,0.0013,-0.0003,-1.34,-0.0101,-2.77
3/5/2010,0.009,-0.042,-0.069,-0.01,-0.065,0.06,0.008,-0.0053,-0.0125,-0.14,-0.0055,-1.15
3/12/2010,-0.033,-0.016,-0.059,-0.034,0.008,-0.09,0,0.0165,0.0232,0.06,0.002,2.05
3/19/2010,0.144,0.056,0.053,-0.021,0.008,0.07,-0.0105,0.0083,0.0109,-2.039,0.0102,-0.58
3/26/2010,-0.081,-0.036,-0.083,-0.015,-0.166,-0.04,0.0145,-0.0243,-0.003,-2.16,-0.0145,-0.32
4/2/2010,0.12,0.069,0.003,0.021,0.015,-0.05,0.0059,-0.0103,-0.0007,1.49,-0.0139,-0.54
4/9/2010,-0.125,-0.063,-0.074,-0.026,0.076,-0.04,-0.0082,0.0082,0.0124,0.93,0.0121,2.45
4/16/2010,0.09,0.094,-0.018,0.04,0.132,0.02,0.0162,-0.0086,0.0091,-1.97,-0.0069,-0.65
4/23/2010,-0.06,0.01,-0.018,0.03,-0.045,0.06,-0.0187,0.0116,0.0052,0.24,0.0019,1.03
4/30/2010,0.189,0.047,0.033,0.03,0.133,0.04,-0.0265,0.0511,0.0581,2.35,0.0351,-1.3
5/7/2010,0.077,0.224,0.164,0.006,0.266,0.02,-0.0038,0.0307,0.0577,0.19,0.0133,0.86
5/14/2010,0.089,0.059,0.154,-0.021,0.133,0.06,-0.0239,0.0065,-0.0222,2.35,0.054,-1.94
5/21/2010,0.183,0.156,0.086,0.06,0.255,0.05,0.0079,0.0013,0.0274,-0.87,-0.0158,0.87
5/28/2010,-0.02,-0.004,0.053,-0.014,-0.114,-0.03,-0.0107,-0.0021,0.0315,-0.91,0.0225,2.52
