Date,Open,High,Low,Close
1993-04-16,174.48,176.88,171.87,171.87
1993-04-23,170.7,174.29,170.32,174.29
1993-04-30,175.57,176.61,174.46,174.46
1993-05-07,173.05,173.52,172.79,173.52
1993-05-14,171.5,171.5,170.28,170.55
1993-05-21,170.78,171.92,170.06,170.06
1993-05-28,169.41,169.41,167.38,167.38
1993-06-04,166.8,166.8,163.46,163.46
1993-06-11,163.43,163.43,161.2,161.82
1993-06-18,160.69,163.48,160.25,163.48
1993-06-25,165.15,165.15,156.65,156.65
1993-07-02,158.39,163.85,158.39,163.85
1993-07-09,164.88,164.88,160.7,162.35
1993-07-16,161.88,161.88,159.93,159.93
1993-07-23,162.6,164.33,159.83,159.83
1993-07-30,160.61,160.61,155.93,155.93
1993-08-06,155.45,157.32,155.42,156.31
1993-08-13,156.53,156.53,149.16,149.16
1993-08-20,149.99,158.62,149.99,158.62
1993-08-27,155.09,157.51,155.09,156.04
1993-09-03,154.78,160.31,154.78,160.31
1993-09-10,160.52,164.61,160.52,164.61
1993-09-17,164.04,164.88,160.07,160.26
1993-09-24,159.71,161.87,159.36,159.36
1993-10-01,160.15,160.15,158.71,159.62
1993-10-08,160.34,162.08,160.02,162.08
1993-10-15,162.4,162.58,161.4,161.87
1993-10-22,161.01,161.01,159.4,159.4
1993-10-29,161.28,161.28,159.76,161.21
1993-11-05,160.31,160.74,158.71,160.74
1993-11-12,159.97,159.97,157.26,157.26
1993-11-19,158.71,159.38,158.05,159.38
1993-11-26,159.57,161.23,159.57,160.89
1993-12-03,162.68,162.68,161.03,161.56
1993-12-10,162.18,163.21,160.55,163.21
1993-12-17,162.41,164.13,162.41,164.13
1993-12-24,164.27,166.74,164.27,166.74
1993-12-31,167.68,167.82,165,165
1994-01-07,166.06,168.27,166.06,166.75
1994-01-14,167.71,168.67,165.92,165.92
1994-01-21,166.03,167.34,165.24,166.3
1994-01-28,167.03,167.03,163.69,164.16
1994-02-04,163.11,163.11,161.39,161.39
1994-02-11,160.92,160.92,157.75,157.75
1994-02-18,153.15,154.11,153.11,154.11
1994-02-25,156.74,156.74,155.64,155.64
1994-03-04,155.05,157.32,155.01,157.32
1994-03-11,157.58,158.55,156.59,157.71
1994-03-18,158.4,158.47,158.11,158.47
1994-03-25,157.65,158.91,157.13,157.13
1994-04-01,155.8,155.8,152.45,152.87
1994-04-08,151.62,155.13,151.62,155.13
1994-04-15,152.2,153.76,152.2,152.7
1994-04-22,152.13,154.92,152.13,154.18
1994-04-29,153.96,154.76,153.35,154.43
1994-05-06,154.45,154.45,152.93,153.44
1994-05-13,153.82,157.24,153.82,157.24
1994-05-20,157.45,157.45,156.13,156.94
1994-05-27,157.08,158.02,157.08,157.36
1994-06-03,157.79,158.94,157.79,158.61
1994-06-10,158.78,158.78,156.5,156.5
1994-06-17,156.56,157.18,155.82,157.18
1994-06-24,156.75,156.75,154.88,155.93
1994-07-01,155.11,155.11,151.6,151.6
1994-07-08,152.13,152.51,151.76,151.76
1994-07-15,152.25,153.7,152.25,152.84
1994-07-22,153.86,153.96,150.93,150.93
1994-07-29,151.5,154.22,149.56,154.22
1994-08-05,152.69,154.84,152.69,154.84
1994-08-12,156.41,156.41,154.96,154.96
1994-08-19,154.35,154.71,152.61,152.61
1994-08-26,151.98,154.94,151.98,154.19
1994-09-02,153.5,153.89,152.86,153.45
1994-09-09,152.94,153.79,152.94,153.79
1994-09-16,155.16,156.37,154.67,156.37
1994-09-23,154.54,154.59,153.91,154.44
1994-09-30,155.27,156.16,155.01,156.16
1994-10-07,157.11,159.23,157.11,159.23
1994-10-14,158.47,158.47,156.59,156.59
1994-10-21,157.24,158.3,157.24,158.3
1994-10-28,158.32,158.68,157.92,157.92
1994-11-04,158.39,158.57,157.15,157.15
1994-11-11,157.08,157.23,156.62,156.62
1994-11-18,155.95,155.95,154.3,154.3
1994-11-25,154.06,154.47,153.72,154.38
1994-12-02,154.08,156.59,154.08,156.59
1994-12-09,156.34,156.94,156.31,156.31
1994-12-16,156.4,156.65,156.4,156.65
1994-12-23,156.43,156.44,154.64,154.64
1994-12-30,155.2,155.86,154.91,155.86
1995-01-06,157.13,158.38,157.13,157.2
1995-01-13,156.17,156.48,154.73,154.73
1995-01-20,154.58,157.71,154.58,157.71
1995-01-27,159.02,159.07,157.75,157.75
1995-02-03,156.74,157.45,156.05,156.05
1995-02-10,154.79,154.79,153.58,154.54
1995-02-17,154.21,154.21,153.6,153.67
1995-02-24,153.81,154.17,153.81,154.17
1995-03-03,153.12,153.28,152.48,153.09
1995-03-10,151.24,151.24,144.19,144.19
1995-03-17,144.52,144.52,141.1,141.1
1995-03-24,141.31,141.57,140.66,141.57
1995-03-31,142.04,143.52,140.63,140.63
1995-04-07,139.24,139.24,135.09,135.09
1995-04-14,132.42,134.17,132.42,133.52
1995-04-21,132.97,133.86,130.99,133.47
1995-04-28,133.63,135.18,132.06,135.18
1995-05-05,135.15,135.25,134.4,134.4
1995-05-12,133.47,136.62,131.71,136.62
1995-05-19,135.99,136.58,135.27,136.52
1995-05-26,137.77,137.77,132.86,132.86
1995-06-02,132.78,135.35,132.78,134.78
1995-06-09,134.99,135.38,134.33,134.56
1995-06-16,133.94,136.06,133.94,136.06
1995-06-23,135.93,135.93,135.41,135.53
1995-06-30,133.81,134.81,133.25,134.78
1995-07-07,135.45,138.26,135.28,138.26
1995-07-14,138.55,140.11,138.55,140.11
1995-07-21,141.42,141.42,139.93,141.18
1995-07-28,139.85,141.12,139.49,141.12
1995-08-04,141.19,146.69,141.19,146.69
1995-08-11,146.24,147.91,146.24,147.91
1995-08-18,147.25,151.71,147.25,149.48
1995-08-25,148.68,148.97,148.5,148.97
1995-09-01,149.96,152.84,149.96,151.44
1995-09-08,152.16,154.34,152.16,154.34
1995-09-15,154.38,160.54,154.38,160.54
1995-09-22,160.18,160.99,155.59,155.59
1995-09-29,157.01,158.25,156.48,156.48
1995-10-06,160.19,160.62,158.95,159.32
1995-10-13,158.83,158.83,157.76,158.62
1995-10-20,158.23,158.23,157.85,157.88
1995-10-27,157.67,160.58,157.67,160.58
1995-11-03,160.4,164.07,160.4,164.07
