Date,Open,High,Low,Close
2010-02-05,3.55,3.55,3.5,3.53
2010-02-12,3.51,3.51,3.49,3.49
2010-02-26,3.51,3.51,3.47,3.5
2010-03-05,3.43,3.43,3.37,3.37
2010-03-12,3.37,3.46,3.37,3.46
2010-03-19,3.46,3.46,3.39,3.39
2010-03-26,3.4,3.44,3.4,3.44
2010-04-02,3.45,3.5,3.45,3.5
2010-04-09,3.5,3.54,3.5,3.54
2010-04-16,3.53,3.54,3.51,3.51
2010-04-23,3.52,3.52,3.46,3.46
2010-04-30,3.45,3.45,3.41,3.41
2010-05-07,3.37,3.37,3.35,3.35
2010-05-14,3.36,3.36,3.3,3.3
2010-05-21,3.3,3.3,3.23,3.25
2010-05-28,3.23,3.26,3.23,3.26
2010-06-04,3.23,3.3,3.23,3.27
2010-06-11,3.27,3.3,3.26,3.3
2010-06-18,3.31,3.39,3.31,3.39
2010-06-25,3.4,3.42,3.4,3.4
2010-07-02,3.37,3.37,3.28,3.28
2010-07-09,3.3,3.3,3.27,3.27
2010-07-16,3.24,3.25,3.21,3.23
2010-07-23,3.22,3.24,3.21,3.24
2010-07-30,3.26,3.29,3.26,3.29
2010-08-06,3.31,3.33,3.31,3.31
2010-08-13,3.31,3.31,3.29,3.29
2010-08-20,3.29,3.29,3.28,3.28
2010-08-27,3.28,3.28,3.25,3.27
2010-09-03,3.27,3.27,3.24,3.25
2010-09-10,3.25,3.28,3.25,3.28
2010-09-17,3.29,3.33,3.29,3.32
2010-09-24,3.32,3.35,3.32,3.35
2010-10-01,3.32,3.35,3.32,3.33
2010-10-08,3.34,3.34,3.34,3.34
2010-10-15,3.35,3.42,3.35,3.42
2010-10-22,3.41,3.66,3.41,3.66
2010-10-29,3.66,3.7,3.66,3.7
2010-11-05,3.7,3.82,3.7,3.82
2010-11-12,3.82,3.97,3.81,3.9
2010-11-19,3.92,3.92,3.81,3.81
2010-11-26,3.86,3.99,3.86,3.99
2010-12-03,4.02,4.02,3.89,3.89
2010-12-10,3.92,3.92,3.86,3.91
2010-12-17,3.89,3.89,3.84,3.86
2010-12-24,3.84,3.84,3.83,3.83
2010-12-31,3.87,3.93,3.87,3.91
2011-01-07,3.88,3.88,3.83,3.86
2011-01-14,3.85,3.9,3.85,3.9
2011-01-21,3.95,4,3.95,4
2011-01-28,4.01,4.02,3.98,4.02
2011-02-04,4.02,4.03,4.02,4.03
2011-02-11,4.11,4.13,4.11,4.13
2011-02-18,4.14,4.14,4.05,4.05
2011-02-25,4.06,4.06,3.98,3.98
2011-03-04,4.03,4.03,3.95,3.98
2011-03-11,3.95,3.95,3.94,3.95
2011-03-18,3.95,3.95,3.9,3.9
2011-03-25,3.91,3.92,3.91,3.92
2011-04-01,3.93,3.93,3.91,3.92
2011-04-08,3.94,3.94,3.92,3.92
2011-04-15,3.93,3.93,3.89,3.89
2011-04-22,3.9,3.91,3.9,3.9
2011-04-29,3.91,3.91,3.89,3.89
2011-05-06,3.88,3.88,3.87,3.87
2011-05-13,3.85,3.85,3.85,3.85
2011-05-20,3.85,3.86,3.85,3.85
2011-05-27,3.85,3.86,3.85,3.85
2011-06-03,3.85,3.85,3.84,3.84
2011-06-10,3.84,3.87,3.84,3.87
2011-06-17,3.89,3.99,3.89,3.99
2011-06-24,3.99,3.99,3.94,3.94
2011-07-01,3.9,3.9,3.89,3.89
2011-07-08,3.89,3.91,3.89,3.91
2011-07-15,3.9,3.94,3.9,3.94
2011-07-22,3.94,4.11,3.94,4.11
2011-07-29,4.08,4.09,4.08,4.09
2011-08-05,4.03,4.11,4.03,4.11
2011-08-12,4.11,4.11,3.94,3.96
2011-08-19,3.94,3.95,3.94,3.94
2011-08-26,3.94,3.95,3.94,3.95
2011-09-02,4.09,4.12,4.09,4.09
2011-09-09,4.06,4.07,4.03,4.07
2011-09-16,4.04,4.06,4.03,4.06
2011-09-23,4.08,4.09,4.08,4.08
2011-09-30,3.91,3.93,3.9,3.93
2011-10-14,3.77,3.79,3.77,3.78
2011-10-21,3.79,3.79,3.73,3.73
2011-10-28,3.73,3.76,3.73,3.74
2011-11-04,3.76,3.76,3.71,3.71
2011-11-11,3.71,3.71,3.61,3.61
2011-11-18,3.58,3.65,3.57,3.65
2011-11-25,3.65,3.65,3.63,3.63
2011-12-02,3.63,3.65,3.49,3.49
2011-12-09,3.46,3.49,3.46,3.49
2011-12-16,3.49,3.5,3.49,3.5
2011-12-23,3.48,3.49,3.47,3.49
2011-12-30,3.49,3.49,3.44,3.44
2012-01-06,3.44,3.44,3.44,3.44
2012-01-13,3.41,3.42,3.4,3.42
