Date,Open,High,Low,Close,
5/1/2015,2.496,2.693,2.495,2.676,-0.18
5/8/2015,2.707,3.04,2.687,2.864,-0.157
5/15/2015,2.828,3.04,2.805,2.935,-0.107
5/22/2015,2.861,3.013,2.854,2.934,-0.073
5/29/2015,2.92,2.938,2.733,2.74,0.18
6/5/2015,2.749,3.065,2.703,3.056,-0.307
6/12/2015,3.033,3.173,2.983,3.017,0.016
6/19/2015,2.972,3.032,2.852,2.876,0.096
6/26/2015,2.914,3.099,2.884,3.065,-0.151
7/3/2015,2.889,3.113,2.889,3.087,-0.198
7/10/2015,2.905,2.975,2.708,2.964,-0.059
7/17/2015,2.982,3.058,2.963,2.967,0.015
